Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
82;146172;"Cell Metabolism";journal;"15504131, 19327420";"Cell Press";No;No;9,297;Q1;391;219;665;13410;15149;588;21,14;61,23;40,87;12;United States;Northern America;"Cell Press";"2005-2026";"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology"
83;21315;"Nature Immunology";journal;"15292908, 15292916";"Nature Research";No;No;9,135;Q1;468;241;745;8007;10142;540;13,60;33,22;40,26;20;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
84;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";"Nature Research";No;No;9,103;Q1;421;169;514;8362;11273;349;20,25;49,48;34,29;24;United Kingdom;Western Europe;"Nature Research";"2003-2026";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
85;21100972445;"Nature Reviews Physics";journal;"25225820";"Springer International Publishing";Yes;No;8,971;Q1;110;127;220;7882;2906;105;13,21;62,06;22,55;13;United Kingdom;Western Europe;"Springer International Publishing";"2019-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
86;19651;"Clinical Microbiology Reviews";journal;"08938512, 10986618";"American Society for Microbiology";No;No;8,964;Q1;358;44;107;11658;4004;105;35,00;264,95;38,12;0;United States;Northern America;"American Society for Microbiology";"1988-2025";"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Immunology and Microbiology; Medicine"
87;17899;"Progress in Materials Science";journal;"18732208, 00796425";"Elsevier Ltd";No;No;8,941;Q1;278;75;154;24535;7356;154;44,54;327,13;24,02;1;United Kingdom;Western Europe;"Elsevier Ltd";"1961, 1963, 1968-1970, 1972-1974, 1976, 1978-1986, 1988-2026";"Materials Science (miscellaneous) (Q1)";"Materials Science"
88;21100356804;"The Lancet Psychiatry";journal;"22150374, 22150366";"Elsevier Ltd";No;No;8,932;Q1;176;292;964;4884;11739;257;14,87;16,73;52,43;0;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2026";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
89;21100265444;"The Lancet Global Health";journal;"2572116X, 2214109X";"Elsevier Ltd";Yes;No;8,845;Q1;168;377;979;6140;9634;315;10,00;16,29;46,95;0;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
90;26978;"Advances in Physics";journal;"14606976, 00018732";"Taylor and Francis Ltd.";No;No;8,837;Q1;130;7;12;1612;252;12;20,13;230,29;16,67;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1952-2026";"Condensed Matter Physics (Q1)";"Physics and Astronomy"
91;12010;"Annual Review of Psychology";journal;"00664308, 15452085";"Annual Reviews Inc.";No;No;8,804;Q1;315;28;79;4334;2190;76;25,86;154,79;44,26;16;United States;Northern America;"Annual Reviews Inc.";"1950-1958, 1960-1963, 1965-2026";"Psychology (miscellaneous) (Q1)";"Psychology"
92;19881;"Advanced Materials";journal;"09359648, 15214095";"Wiley-Blackwell";No;No;8,663;Q1;709;1538;4273;135954;126791;4233;28,52;88,40;29,54;19;United States;Northern America;"Wiley-Blackwell";"1989-2026";"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)";"Engineering; Materials Science"
93;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";"Annual Reviews Inc.";No;No;8,656;Q1;98;13;59;1378;1075;56;11,00;106,00;38,71;5;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
94;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";"American Economic Association";No;No;8,636;Q1;106;57;143;3520;1009;143;5,68;61,75;29,93;55;United States;Northern America;"American Economic Association";"2009-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
95;28711;"Annals of Oncology";journal;"15698041, 09237534";"Elsevier Ltd";No;No;8,590;Q1;331;240;1066;7135;17861;669;20,00;29,73;41,68;81;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2026";"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Medicine"
96;17700156440;"Nature Reviews Endocrinology";journal;"17595037, 17595029";"Nature Publishing Group";No;No;8,561;Q1;240;150;500;8167;7535;213;14,40;54,45;30,67;19;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
97;28599;"Reviews of Geophysics";journal;"19449208, 87551209";"John Wiley and Sons Inc";No;No;8,527;Q1;219;18;79;6437;2301;76;25,09;357,61;27,71;0;United States;Northern America;"John Wiley and Sons Inc";"1963-2026";"Geophysics (Q1)";"Earth and Planetary Sciences"
98;12394;"Nature Structural and Molecular Biology";journal;"15459993, 15459985";"Nature Research";No;No;8,497;Q1;317;166;485;6453;6098;440;12,46;38,87;31,97;8;United Kingdom;Western Europe;"Nature Research";"1998, 2004-2026";"Molecular Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
99;19584;"Annual Review of Public Health";book series;"01637525, 15452093";"Annual Reviews Inc.";No;No;8,451;Q1;200;0;116;0;2324;86;15,36;0,00;0,00;0;United States;Northern America;"Annual Reviews Inc.";"1980-2020, 2022-2025";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
100;21100780831;"Nature Reviews Disease Primers";journal;"2056676X";"Nature Publishing Group";No;No;8,409;Q1;236;81;287;8955;8163;188;23,66;110,56;37,63;24;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
101;18100156701;"Nature Chemistry";journal;"17554330, 17554349";"Nature Publishing Group";No;No;8,384;Q1;323;227;606;7666;9901;478;15,26;33,77;25,93;4;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
102;21100826360;"JAMA Cardiology";journal;"23806583, 23806591";"American Medical Association";No;No;8,324;Q1;142;312;865;4945;10143;425;13,87;15,85;29,63;59;United States;Northern America;"American Medical Association";"2016-2026";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
103;21100884663;"Nature Electronics";journal;"25201131";"Nature Publishing Group";No;No;8,302;Q1;159;172;491;5248;7349;269;13,94;30,51;22,46;7;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2026";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)";"Engineering; Materials Science; Physics and Astronomy"
104;22581;"Circulation";journal;"00097322, 15244539";"Lippincott Williams and Wilkins";No;No;8,281;Q1;712;687;2614;18674;36697;1617;15,46;27,18;33,43;0;United States;Northern America;"Lippincott Williams and Wilkins";"1950-2026";"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)";"Medicine"
105;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828, 19393539";"IEEE Computer Society";No;No;8,269;Q1;460;317;677;19353;15604;670;19,65;61,05;23,61;1;United States;Northern America;"IEEE Computer Society";"1978-2026";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
106;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";"MIT Press";No;No;8,245;Q1;219;65;205;2947;1263;205;4,77;45,34;26,25;63;United States;Northern America;"MIT Press";"1978-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
107;14204;"Nucleic Acids Research";journal;"03051048, 13624962";"Oxford University Press";Yes;No;8,241;Q1;714;1492;3635;89384;68883;3629;19,83;59,91;37,86;54;United Kingdom;Western Europe;"Oxford University Press";"1974-2026";"Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
108;21100199127;"Advanced Energy Materials";journal;"16146832, 16146840";"John Wiley and Sons Inc";No;No;8,226;Q1;388;708;2138;66736;59810;2126;26,42;94,26;28,75;18;Germany;Western Europe;"John Wiley and Sons Inc";"2011-2026";"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
109;17437;"Nature Reviews Neuroscience";journal;"14710048, 1471003X";"Springer Nature";No;No;7,944;Q1;510;131;444;8739;6005;286;11,47;66,71;39,13;7;United Kingdom;Western Europe;"Springer Nature";"2000-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
110;6100153018;"Cell Stem Cell";journal;"19345909, 18759777";"Cell Press";No;No;7,935;Q1;329;205;593;10514;9961;499;15,65;51,29;40,38;47;United States;Northern America;"Cell Press";"2007-2026";"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology"
111;28366;"Gut";journal;"14683288, 00175749";"BMJ Publishing Group";No;No;7,885;Q1;385;351;951;12492;17013;619;17,89;35,59;35,74;87;United Kingdom;Western Europe;"BMJ Publishing Group";"1960-2026";"Gastroenterology (Q1)";"Medicine"
112;13900;"Cell Research";journal;"17487838, 10010602";"Springer Nature";No;No;7,804;Q1;244;158;415;5649;8592;253;22,35;35,75;39,79;9;United Kingdom;Western Europe;"Springer Nature";"1996-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
113;28980;"Journal of Economic Perspectives";journal;"08953309, 19447965";"American Economic Association";No;No;7,785;Q1;253;42;133;2659;1540;131;10,06;63,31;21,95;21;United States;Northern America;"American Economic Association";"1987, 1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
114;17700156408;"Nature Reviews Neurology";journal;"17594766, 17594758";"Nature Research";No;No;7,736;Q1;244;159;485;8379;6771;248;13,21;52,70;37,93;31;United Kingdom;Western Europe;"Nature Research";"2009-2026";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
115;28330;"Gastroenterology";journal;"15280012, 00165085";"W.B. Saunders";No;No;7,689;Q1;501;821;2148;20359;24619;1032;12,30;24,80;39,18;110;United States;Northern America;"W.B. Saunders";"1945-2026";"Gastroenterology (Q1); Hepatology (Q1)";"Medicine"
116;12812;"Personality and Social Psychology Review";journal;"10888683, 15327957";"SAGE Publications Inc.";No;No;7,660;Q1;204;13;44;2464;758;43;14,83;189,54;46,88;0;United States;Northern America;"SAGE Publications Inc.";"1997-2026";"Social Psychology (Q1)";"Psychology"
117;20206;"Academy of Management Review";journal;"03637425";"Academy of Management";No;No;7,618;Q1;334;52;162;4920;1464;135;7,78;94,62;24,56;11;United States;Northern America;"Academy of Management";"1976-1991, 1993-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
118;17600155130;"National Center for Health Statistics Data Brief";journal;"19414927, 19414935";"United States National Center for Health Statistics";No;No;7,585;Q1;104;34;94;0;1581;94;15,74;0,00;68,42;0;United States;Northern America;"United States National Center for Health Statistics";"2007-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
119;4000151822;"Nature Physics";journal;"17452473, 17452481";"Nature Research";No;No;7,568;Q1;367;352;976;10289;10765;471;10,38;29,23;19,10;10;United Kingdom;Western Europe;"Nature Research";"2005-2026";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
120;13839;"Annual Review of Fluid Mechanics";book series;"15454479, 00664189";"Annual Reviews Inc.";No;No;7,560;Q1;243;38;69;4891;1762;68;26,38;128,71;13,95;4;United States;Northern America;"Annual Reviews Inc.";"1970-1971, 1973-2011, 2013-2026";"Condensed Matter Physics (Q1)";"Physics and Astronomy"
121;17978;"Neuron";journal;"10974199, 08966273";"Cell Press";No;No;7,556;Q1;569;394;1363;23643;18090;1218;12,19;60,01;36,65;16;United States;Northern America;"Cell Press";"1988-2026";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
122;13443;"Psychological Bulletin";journal;"00332909, 19391455";"American Psychological Association";No;No;7,504;Q1;396;46;117;9464;2427;110;19,23;205,74;46,50;10;United States;Northern America;"American Psychological Association";"1904-2025";"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Psychology"
123;21100420583;"JAMA Oncology";journal;"23742445, 23742437";"American Medical Association";No;No;7,502;Q1;208;403;1333;6102;13630;540;9,79;15,14;44,26;92;United States;Northern America;"American Medical Association";"2015-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
124;21100778657;"Acta Crystallographica Section D: Structural Biology";journal;"20597983";"John Wiley &amp; Sons Inc.";No;No;7,498;Q1;160;143;345;6955;2333;332;5,18;48,64;34,05;0;United States;Northern America;"John Wiley &amp; Sons Inc.";"2016-2026";"Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
125;21101047377;"EnergyChem";journal;"25897780";"Elsevier B.V.";No;No;7,488;Q1;59;22;33;5483;1087;32;32,94;249,23;37,62;2;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
126;21100228100;"Advances in Optics and Photonics";journal;"19438206";"Optica Publishing Group (formerly OSA)";No;No;7,473;Q1;99;14;50;3075;1181;40;21,51;219,64;23,68;0;United States;Northern America;"Optica Publishing Group (formerly OSA)";"2009-2025";"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)";"Environmental Science; Physics and Astronomy"
127;22657;"Accounts of Chemical Research";journal;"00014842, 15204898";"American Chemical Society";No;No;7,469;Q1;495;386;917;26000;21818;893;22,99;67,36;25,17;9;United States;Northern America;"American Chemical Society";"1968-2026";"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Chemistry; Medicine"
128;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;7,461;Q1;309;73;149;4360;1760;142;12,35;59,73;37,08;16;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
129;4600151524;"Annual Review of Clinical Psychology";book series;"15485951, 15485943";"Annual Reviews Inc.";No;No;7,450;Q1;166;23;61;3109;1328;59;20,40;135,17;56,16;9;United States;Northern America;"Annual Reviews Inc.";"2005-2025";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Psychology"
130;19066;"Trends in Cell Biology";journal;"09628924, 18793088";"Elsevier Ltd";No;No;7,413;Q1;281;98;269;7114;5212;268;16,88;72,59;39,58;0;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2026";"Cell Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
131;21100832985;"ACS Energy Letters";journal;"23808195";"American Chemical Society";No;No;7,362;Q1;252;481;1267;26494;26812;1196;19,96;55,08;26,36;14;United States;Northern America;"American Chemical Society";"2016-2026";"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
132;25297;"Journal of Hepatology";journal;"16000641, 01688278";"Elsevier B.V.";No;No;7,351;Q1;338;485;1202;15236;16875;631;14,77;31,41;39,96;74;Netherlands;Western Europe;"Elsevier B.V.";"1985-2026";"Hepatology (Q1)";"Medicine"
133;29838;"Journal of Accounting and Economics";journal;"01654101";"Elsevier B.V.";No;No;7,346;Q1;207;50;125;2947;796;123;5,40;58,94;30,25;14;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
134;14181;"Annual Review of Neuroscience";book series;"0147006X, 15454126";"Annual Reviews Inc.";No;No;7,269;Q1;278;25;73;3617;1164;73;15,68;144,68;18,52;1;United States;Northern America;"Annual Reviews Inc.";"1978-2025";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
135;21272;"Journal of Experimental Medicine";journal;"00221007, 15409538";"Rockefeller University Press";No;No;7,265;Q1;513;361;723;21763;10429;691;14,43;60,29;41,65;9;United States;Northern America;"Rockefeller University Press";"1896-1902, 1905-2026";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
